,,,,,
Notas Examen,,,,,
,,,,,
N° Alumno,P1,P2,P3,P4,Nota
17205689,"0,6","0,4","0,6","0,0","2,6"
15206785,"1,4","0,7","0,9","0,8","4,8"
18639283,"1,0","0,4","1,2","1,0","4,6"
18640176,"0,3","0,4","0,0","1,5","3,2"
16205200,,,,,
13634372,"1,5","1,1","1,0","1,2","5,8"
18642578,"1,0","0,4","1,0","0,0","3,4"
17624223,"0,6","0,3","0,7","0,0","2,6"
18636713,"0,7","1,5","0,3","1,5","5,0"
1762598J,"0,8","0,0","0,4","0,2","2,4"
18637302,"1,2","0,8","1,2","1,0","5,2"
19639821,"1,4","0,3","1,3","1,0","5,0"
18636497,"1,4","0,4","0,9","1,3","5,0"
16622766,"0,9","0,8","1,1","0,5","4,3"
18211380,,,,,
16205693,"0,7","0,4","0,8","0,5","3,4"
14632039,"0,0","0,7","1,3","1,0","4,0"
19636520,,,,,
17642752,"1,1","0,4","0,6","0,0","3,1"
17642728,,,,,
18638082,,,,,
17637449,"1,1","1,1","1,3","0,5","5,0"
18636578,"1,3","1,1","1,5","0,0","4,9"
18639496,"1,0","0,0","1,0","0,5","3,5"
16638565,"1,3","0,0","1,4","1,0","4,7"
15638812,"0,4","0,4","0,7","0,0","2,5"
1863737J,"1,1","0,7","0,6","0,8","4,2"
16636678,"1,2","0,8","1,1","0,5","4,6"
17642531,"1,1","0,8","1,4","1,5","5,8"
17625378,"0,4","0,6","0,7","1,0","3,7"
17642140,,,,,
18638279,"1,3","0,6","0,9","0,5","4,3"
17640784,,,,,
18637655,"1,2","1,2","1,2","1,0","5,6"
14635178,"1,0","0,0","0,2","0,0","2,2"
20641923,"1,2","0,7","0,6","0,0","3,5"
1663960J,"0,6","0,7","0,4","0,0","2,7"
19640609,"1,3","1,4","1,4","1,3","6,4"
16202767,"0,5","1,1","0,9","0,6","4,1"
16623460,,,,,
17636930,,,,,
16206797,,,,,
18641938,,,,,
14619164,"0,4","0,0","0,5","0,7","2,6"
16207084,"1,4","0,8","1,5","1,3","6,0"
18640877,"1,2","1,5","1,0","0,5","5,2"
17636671,"1,5","0,4","0,5","1,0","4,4"
17637554,"0,2","0,0","0,8","0,0","2,0"
18643019,"1,3","1,5","0,5","0,8","5,1"
17637155,"1,2","0,0","0,6","0,0","2,8"
16623924,,,,,
14631652,"0,7","0,0","0,8","0,5","3,0"
1461961J,"0,8","0,4","0,7","0,0","2,9"
16623428,,,,,
16637232,"1,5","1,1","1,5","1,3","6,4"
1663991J,"1,2","0,0","1,0","0,0","3,2"
18637663,"0,3","1,5","1,3","1,0","5,1"
18637086,"1,4","0,0","1,2","0,0","3,6"
16207238,"1,2","0,7","1,1","0,5","4,5"
18636926,"0,9","0,7","0,3","1,0","3,9"
18637140,"0,9","0,8","1,5","1,0","5,2"
15636453,,,,,
16635655,"1,2","0,4","0,5","1,0","4,1"
1663697J,"1,2","0,4","0,9","1,2","4,7"
17638658,,,,,
16202759,"1,5","1,2","1,2","1,0","5,9"
16636287,,,,,
18638759,"1,4","0,4","1,2","1,4","5,4"
18638171,"1,4","0,0","1,3","0,0","3,7"
18637043,"1,5","1,5","1,3","1,5","6,8"
1921264J,"1,4","0,0","0,1","0,0","2,5"
18636675,,,,,
16207211,"1,3","1,4","1,5","1,3","6,5"
17636868,"1,2","1,1","0,9","0,8","5,0"
17639298,"0,7","0,5","0,9","1,0","4,1"
18639925,"1,4","0,2","0,9","0,0","3,5"
16636848,"1,4","0,0","1,4","1,5","5,3"
18208967,,,,,
16637623,"0,7","1,1","1,0","0,5","4,3"
1764030J,"0,8","0,6","0,4","0,0","2,8"
18207979,,,,,
17637171,"1,5","1,5","1,5","1,4","6,9"
19632401,"0,2","0,0","0,3","0,0","1,5"
17640997,,,,,
17636744,"1,1","1,1","1,3","1,0","5,5"
15636461,,,,,
19636555,"1,2","1,2","1,0","1,3","5,7"
18637264,"0,7","0,7","0,6","0,0","3,0"
18638104,"1,2","0,4","1,4","0,5","4,5"
15635635,,,,,
16637747,,,,,
Promedio,"1,0","0,6","0,9","0,7","4,3"
Mínimo,"0,0","0,0","0,0","0,0","1,5"
Máximo,"1,5","1,5","1,5","1,5","6,9"
