,,,,,,,,
Notas finales,,,,,,,,
,,,,,,,,
N° Alumno,T1,T2,T3,I1,I2,Examen,Adicional,Final
17205689,"4,0","2,1","1,0","2,8","2,4","2,6",,"2,5"
15206785,"3,9","5,6","6,8","4,3","3,7","4,8","0,1","5,0"
18639283,"4,0","4,7","6,7","5,5","4,8","4,6","0,1","5,2"
18640176,"4,8","6,1","6,9","4,0","3,6","3,2","0,1","4,9"
13634372,"4,8","1,0","4,6","5,0","4,9","5,8","0,1","4,5"
18642578,"3,9","6,6","6,9","3,7","5,3","3,4",,"5,0"
17624223,"4,8","7,0","7,0","5,2","2,8","2,6","0,1","5,0"
18636713,"4,0","7,0","7,0","3,9","5,8","5,0","0,1","5,6"
1762598J,"4,9","5,4","6,9","2,1","3,2","2,4","0,1","4,3"
18637302,"5,4","6,2","7,0","4,1","3,6","5,2",,"5,3"
19639821,"3,6","4,9","6,1","4,8","4,7","5,0",,"4,9"
18636497,"4,8","4,3","5,5","6,1","6,1","5,0",,"5,3"
16622766,"5,5","4,8","6,7","2,0","2,5","4,3",,"4,3"
16205693,"5,2","4,1","6,3","3,4","3,5","3,4",,"4,3"
14632039,"1,0","1,0","1,0","4,7","3,8","4,0",,"2,6"
17642752,"3,5","6,5","1,1","5,8","4,3","3,1","0,1","4,2"
17642728,"2,0","1,0","1,0","4,1","1,0","1,0",,"1,7"
17637449,"4,5","5,0","5,9","4,6","6,0","5,0",,"5,2"
18636578,"6,4","7,0","7,0","5,4","6,7","4,9","0,1","6,3"
18639496,"5,5","6,4","6,4","4,8","5,4","3,5","0,1","5,4"
16638565,"5,5","2,9","6,2","4,0","6,4","4,7",,"5,0"
15638812,"4,0","6,7","6,3","3,1","5,3","2,5","0,1","4,8"
1863737J,"4,6","6,1","7,0","4,5","4,0","4,2",,"5,1"
16636678,"4,0","6,7","1,8","5,6","5,8","4,6",,"4,8"
17642531,"5,4","7,0","6,9","5,3","6,0","6,2","0,1","6,2"
17625378,"4,8","3,5","7,0","1,9","2,8","4,2","0,1","4,1"
17642140,"4,0","3,7","5,6","3,7","5,1",,"0,1",
18638279,"5,8","3,7","6,2","5,2","5,2","4,3",,"5,1"
18637655,"4,0","3,5","3,7","5,9","7,0","5,6","0,1","5,1"
14635178,"1,0","1,0","1,0","3,3","2,7","2,2","0,1","2,0"
20641923,"5,4","4,1","7,0","3,6","4,6","3,5",,"4,7"
1663960J,"1,0","2,8","5,0","2,9","4,2","2,9","0,1","3,2"
19640609,"4,0","4,2","6,0","6,7","5,2","6,4","0,1","5,5"
