,,,,,
Notas Interrogación 1,,,,,
,,,,,
N° Alumno,P1,P2,P3,P4,Nota
17205689,"0,4","1,2","0,2","0,0","2,8"
15206785,"0,8","0,8","0,5","1,2","4,3"
18639283,"1,5","1,5","1,5","0,0","5,5"
18640176,"1,3","1,5","0,2","0,0","4,0"
16205200,,,,,
13634372,"1,2","1,3","1,5","0,0","5,0"
18642578,"0,8","1,0","0,9","0,0","3,7"
17624223,"1,2","1,3","0,5","1,2","5,2"
18636713,"0,8","1,3","0,2","0,6","3,9"
1762598J,"0,8","0,1","0,2","0,0","2,1"
18637302,"1,5","1,4","0,2","0,0","4,1"
19639821,"0,8","1,5","0,9","0,6","4,8"
18636497,"1,5","1,5","0,9","1,2","6,1"
16622766,"0,0","0,0","0,9","0,1","2,0"
18211380,,,,,
16205693,"1,2","0,0","1,1","0,1","3,4"
14632039,"1,0","1,3","1,4","0,0","4,7"
19636520,"1,5","1,3","0,2","0,0","4,0"
17642752,"1,5","1,4","0,9","1,0","5,8"
17642728,"1,2","0,9","0,4","0,6","4,1"
18638082,"0,0","0,8","0,0","0,1","1,9"
17637449,"1,5","1,4","0,7","0,0","4,6"
18636578,"1,5","1,0","0,7","1,2","5,4"
18639496,"1,2","1,0","1,5","0,1","4,8"
16638565,"0,8","0,1","1,5","0,6","4,0"
15638812,"0,8","1,3","0,0","0,0","3,1"
1863737J,"1,2","1,3","0,4","0,6","4,5"
16636678,"1,5","1,0","1,5","0,6","5,6"
17642531,"1,1","1,5","0,5","1,2","5,3"
17625378,"0,4","0,0","0,5","0,0","1,9"
17642140,"1,5","1,0","0,2","0,0","3,7"
18638279,"1,2","1,4","1,0","0,6","5,2"
17640784,,,,,
18637655,"1,1","0,8","1,5","1,5","5,9"
14635178,"0,8","1,3","0,2","0,0","3,3"
20641923,"1,1","0,0","0,9","0,6","3,6"
1663960J,"1,5","0,0","0,4","0,0","2,9"
19640609,"1,5","1,5","1,5","1,2","6,7"
16202767,"1,1","1,3","1,4","1,0","5,8"
16623460,"1,5","0,2","0,7","0,0","3,4"
17636930,"1,2","0,0","0,9","0,6","3,7"
16206797,,,,,
18641938,"0,8","1,3","0,0","0,0","3,1"
14619164,"0,4","1,0","0,4","0,1","2,9"
16207084,"0,0","1,4","0,9","1,5","4,8"
18640877,"1,2","1,5","0,9","0,6","5,2"
17636671,"0,4","0,4","1,5","0,6","3,9"
17637554,"1,2","1,0","0,7","0,0","3,9"
18643019,"1,5","1,5","0,7","0,0","4,7"
17637155,"1,5","1,5","0,5","1,2","5,7"
16623924,,,,,
14631652,"1,2","0,6","0,5","0,0","3,3"
1461961J,"0,0","0,1","0,4","0,0","1,5"
16623428,,,,,
16637232,"1,5","1,5","0,9","0,6","5,5"
1663991J,"1,5","1,3","0,7","0,6","5,1"
18637663,"1,5","1,5","0,7","0,0","4,7"
18637086,"0,8","0,7","1,5","0,0","4,0"
16207238,"0,8","0,5","0,7","0,6","3,6"
18636926,"1,2","0,8","1,5","0,0","4,5"
18637140,"0,8","1,5","0,5","0,3","4,1"
15636453,"1,5","1,3","0,7","0,0","4,5"
16635655,"1,5","1,0","0,9","0,0","4,4"
1663697J,"1,2","0,0","0,7","0,0","2,9"
17638658,"1,5","0,0","0,4","0,0","2,9"
16202759,"1,5","1,3","1,5","1,5","6,8"
16636287,"1,4","1,0","0,9","0,0","4,3"
18638759,"1,5","0,0","0,4","0,3","3,2"
18638171,"1,5","1,0","1,5","0,6","5,6"
18637043,"1,5","1,5","1,5","1,5","7,0"
1921264J,"1,5","0,0","0,0","0,0","2,5"
18636675,,,,,
16207211,"1,5","1,5","0,7","1,2","5,9"
17636868,"1,2","1,4","1,5","0,6","5,7"
17639298,"1,5","0,1","0,9","0,0","3,5"
18639925,"0,8","1,5","0,5","0,0","3,8"
16636848,"0,8","1,4","0,2","0,0","3,4"
18208967,"0,8","1,3","0,0","0,6","3,7"
16637623,"1,5","1,4","1,5","1,2","6,6"
1764030J,"1,2","1,0","1,1","0,8","5,1"
18207979,"1,2","1,2","0,6","0,0","4,0"
17637171,"1,5","1,3","1,5","0,6","5,9"
19632401,"0,0","1,4","0,4","0,0","2,8"
17640997,,,,,
17636744,"1,5","1,4","1,5","0,1","5,5"
15636461,"0,7","0,4","0,9","0,0","3,0"
19636555,"1,5","1,5","1,5","1,5","7,0"
18637264,"1,5","1,4","0,9","0,1","4,9"
18638104,"0,8","1,4","0,7","0,6","4,5"
15635635,"1,2","1,3","0,0","0,0","3,5"
16637747,,,,,
Promedio,"1,1","1,0","0,8","0,4","4,3"
Mínimo,"0,0","0,0","0,0","0,0","1,5"
Máximo,"1,5","1,5","1,5","1,5","7,0"
