,,,,,
Notas Interrogación 2,,,,,
,,,,,
N° Alumno,P1,P2,P3.a,P3.b,Nota
17205689,"0,7","0,7","0,0","0,0","2,4"
15206785,"1,4","1,3","0,0","0,0","3,7"
18639283,"1,7","0,9","0,0","1,2","4,8"
18640176,"1,4","0,0","1,2","0,0","3,6"
16205200,,,,,
13634372,"1,8","0,9","0,0","1,2","4,9"
18642578,"1,8","0,7","0,6","1,2","5,3"
17624223,"1,4","0,4","0,0","0,0","2,8"
18636713,"2,0","1,6","0,6","0,6","5,8"
1762598J,"1,4","0,8","0,0","0,0","3,2"
18637302,"1,4","1,2","0,0","0,0","3,6"
19639821,"2,0","1,1","0,6","0,0","4,7"
18636497,"1,8","1,5","0,6","1,2","6,1"
16622766,"1,4","0,1","0,0","0,0","2,5"
18211380,,,,,
16205693,"1,4","1,1","0,0","0,0","3,5"
14632039,"1,7","1,1","0,0","0,0","3,8"
19636520,"1,7","0,0","0,0","0,0","2,7"
17642752,"1,7","1,6","0,0","0,0","4,3"
17642728,,,,,
18638082,,,,,
17637449,"2,0","1,2","0,6","1,2","6,0"
18636578,"1,7","1,6","1,2","1,2","6,7"
18639496,"1,7","1,5","0,0","1,2","5,4"
16638565,"2,0","1,6","0,6","1,2","6,4"
15638812,"1,4","1,1","0,6","1,2","5,3"
1863737J,"1,4","1,0","0,0","0,6","4,0"
16636678,"1,8","1,2","0,6","1,2","5,8"
17642531,"2,0","1,2","0,6","1,2","6,0"
17625378,"0,7","0,4","0,0","0,0","2,1"
17642140,"1,7","1,2","0,0","1,2","5,1"
18638279,"1,4","1,6","0,0","1,2","5,2"
17640784,,,,,
18637655,"2,0","1,6","1,2","1,2","7,0"
14635178,"0,7","1,0","0,0","0,0","2,7"
20641923,"2,0","1,6","0,0","0,0","4,6"
1663960J,"2,0","1,2","0,0","0,0","4,2"
19640609,"1,8","1,2","0,0","1,2","5,2"
16202767,"1,8","0,8","0,0","0,0","3,6"
16623460,"1,7","0,0","0,0","0,0","2,7"
17636930,,,,,
16206797,,,,,
18641938,"1,6","0,0","0,0","0,0","2,6"
14619164,"1,3","0,1","1,2","0,6","4,2"
16207084,"1,8","1,0","0,6","1,2","5,6"
18640877,"2,0","1,1","0,6","0,0","4,7"
17636671,"2,0","1,2","0,6","1,2","6,0"
17637554,"1,4","0,4","0,0","0,0","2,8"
18643019,"1,7","1,4","0,0","0,0","4,1"
17637155,"0,7","1,6","0,0","0,0","3,3"
16623924,,,,,
14631652,"1,4","1,0","0,0","0,0","3,4"
1461961J,"1,8","0,6","0,0","0,0","3,4"
16623428,,,,,
16637232,"2,0","1,2","0,0","1,2","5,4"
1663991J,"1,8","0,8","0,6","0,0","4,2"
18637663,"2,0","1,6","0,0","0,6","5,2"
18637086,"1,8","0,7","0,6","0,0","4,1"
16207238,"2,0","1,6","0,6","0,6","5,8"
18636926,"2,0","1,4","0,0","0,0","4,4"
18637140,"1,4","0,7","0,0","0,0","3,1"
15636453,"1,4","0,6","0,0","0,0","3,0"
16635655,"1,4","1,2","0,6","0,6","4,8"
1663697J,"1,4","1,6","0,0","0,0","4,0"
17638658,,,,,
16202759,"1,4","1,1","0,6","0,0","4,1"
16636287,,,,,
18638759,"2,0","1,5","0,6","1,2","6,3"
18638171,"1,4","1,1","0,0","0,0","3,5"
18637043,"2,0","1,6","0,6","1,2","6,4"
1921264J,"1,7","0,0","0,0","0,0","2,7"
18636675,,,,,
16207211,"1,8","1,6","0,6","1,2","6,2"
17636868,"1,7","1,6","0,6","1,2","6,1"
17639298,"2,0","1,5","0,6","0,0","5,1"
18639925,"1,4","1,3","0,6","1,2","5,5"
16636848,"1,4","1,2","0,0","0,0","3,6"
18208967,,,,,
16637623,"1,8","1,1","0,6","1,2","5,7"
1764030J,"2,0","1,2","0,6","0,0","4,8"
18207979,"1,7","0,9","0,0","0,0","3,6"
17637171,"2,0","1,5","0,6","1,2","6,3"
19632401,"1,7","0,2","0,0","0,0","2,9"
17640997,,,,,
17636744,"2,0","1,6","0,6","1,2","6,4"
15636461,,,,,
19636555,"2,0","1,2","0,6","1,2","6,0"
18637264,"1,6","1,3","0,0","1,2","5,1"
18638104,"0,7","1,0","0,6","0,0","3,3"
15635635,,,,,
16637747,,,,,
Promedio,"1,6","1,1","0,3","0,5","4,5"
Mínimo,"0,7","0,0","0,0","0,0","2,1"
Máximo,"2,0","1,6","1,2","1,2","7,0"
